geoid,tract_name,borough,B25003_E001,B25003_M001,B25003_E002,B25003_M002,B25003_E003,B25003_M003
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",Bronx,1560,175,31,29,1529,178
1400000US36005037600,"Census Tract 376, Bronx County, New York",Bronx,767,94,263,75,504,112
1400000US36005037800,"Census Tract 378, Bronx County, New York",Bronx,1186,147,217,71,969,146
1400000US36005037900,"Census Tract 379, Bronx County, New York",Bronx,2212,267,157,128,2055,282
1400000US36005038000,"Census Tract 380, Bronx County, New York",Bronx,2114,200,634,203,1480,204
1400000US36005038100,"Census Tract 381, Bronx County, New York",Bronx,2726,367,77,84,2649,396
1400000US36005038200,"Census Tract 382, Bronx County, New York",Bronx,967,115,487,128,480,80
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",Bronx,1601,203,66,43,1535,207
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",Bronx,1237,121,20,32,1217,126
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",Bronx,844,222,0,14,844,222
1400000US36005038500,"Census Tract 385, Bronx County, New York",Bronx,1884,204,25,43,1859,206
1400000US36005038600,"Census Tract 386, Bronx County, New York",Bronx,2869,366,1047,363,1822,212
1400000US36005038700,"Census Tract 387, Bronx County, New York",Bronx,1481,152,21,35,1460,145
1400000US36005038800,"Census Tract 388, Bronx County, New York",Bronx,990,140,574,126,416,129
1400000US36005038900,"Census Tract 389, Bronx County, New York",Bronx,1954,262,16,26,1938,260
1400000US36005039000,"Census Tract 390, Bronx County, New York",Bronx,1104,210,227,87,877,220
1400000US36005039100,"Census Tract 391, Bronx County, New York",Bronx,3026,462,148,195,2878,383
1400000US36005039200,"Census Tract 392, Bronx County, New York",Bronx,634,104,191,73,443,97
1400000US36005039300,"Census Tract 393, Bronx County, New York",Bronx,3092,248,49,55,3043,255
1400000US36005039400,"Census Tract 394, Bronx County, New York",Bronx,1701,189,169,123,1532,200
1400000US36005039500,"Census Tract 395, Bronx County, New York",Bronx,1821,375,112,80,1709,381
1400000US36005039600,"Census Tract 396, Bronx County, New York",Bronx,1436,182,333,128,1103,196
