geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005037600,"Census Tract 376, Bronx County, New York",Bronx,60288,11556
1400000US36005037800,"Census Tract 378, Bronx County, New York",Bronx,65964,20623
1400000US36005037900,"Census Tract 379, Bronx County, New York",Bronx,50250,20573
1400000US36005038000,"Census Tract 380, Bronx County, New York",Bronx,48073,9315
1400000US36005038100,"Census Tract 381, Bronx County, New York",Bronx,42015,11336
1400000US36005038200,"Census Tract 382, Bronx County, New York",Bronx,83125,41013
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",Bronx,44040,13828
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",Bronx,45258,13001
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",Bronx,26842,15741
1400000US36005038500,"Census Tract 385, Bronx County, New York",Bronx,13554,4996
1400000US36005038600,"Census Tract 386, Bronx County, New York",Bronx,68481,20490
1400000US36005038700,"Census Tract 387, Bronx County, New York",Bronx,44982,16942
1400000US36005038800,"Census Tract 388, Bronx County, New York",Bronx,61000,12346
1400000US36005038900,"Census Tract 389, Bronx County, New York",Bronx,46471,15999
1400000US36005039000,"Census Tract 390, Bronx County, New York",Bronx,56563,32850
1400000US36005039100,"Census Tract 391, Bronx County, New York",Bronx,34663,16083
1400000US36005039200,"Census Tract 392, Bronx County, New York",Bronx,67917,14383
1400000US36005039300,"Census Tract 393, Bronx County, New York",Bronx,27776,8262
1400000US36005039400,"Census Tract 394, Bronx County, New York",Bronx,60373,20175
1400000US36005039500,"Census Tract 395, Bronx County, New York",Bronx,21674,19537
1400000US36005039600,"Census Tract 396, Bronx County, New York",Bronx,48798,10847
1400000US36005039700,"Census Tract 397, Bronx County, New York",Bronx,31964,22875
1400000US36005039800,"Census Tract 398, Bronx County, New York",Bronx,28491,18330
1400000US36005039901,"Census Tract 399.01, Bronx County, New York",Bronx,43503,2913
1400000US36005039902,"Census Tract 399.02, Bronx County, New York",Bronx,43491,13184
1400000US36005040100,"Census Tract 401, Bronx County, New York",Bronx,28649,6075
1400000US36005040302,"Census Tract 403.02, Bronx County, New York",Bronx,37756,21201
1400000US36005040303,"Census Tract 403.03, Bronx County, New York",Bronx,42750,8465
1400000US36005040304,"Census Tract 403.04, Bronx County, New York",Bronx,36913,6312
1400000US36005040400,"Census Tract 404, Bronx County, New York",Bronx,65451,22535
1400000US36005040501,"Census Tract 405.01, Bronx County, New York",Bronx,42386,12281
1400000US36005040502,"Census Tract 405.02, Bronx County, New York",Bronx,38884,8509
1400000US36005040600,"Census Tract 406, Bronx County, New York",Bronx,48857,8159
1400000US36005040701,"Census Tract 407.01, Bronx County, New York",Bronx,46188,12572
1400000US36005040702,"Census Tract 407.02, Bronx County, New York",Bronx,33946,6901
1400000US36005040800,"Census Tract 408, Bronx County, New York",Bronx,41555,11228
1400000US36005040900,"Census Tract 409, Bronx County, New York",Bronx,67793,20545
1400000US36005041100,"Census Tract 411, Bronx County, New York",Bronx,54219,28425
1400000US36005041300,"Census Tract 413, Bronx County, New York",Bronx,60254,17231
1400000US36005041400,"Census Tract 414, Bronx County, New York",Bronx,125302,68907
1400000US36005041500,"Census Tract 415, Bronx County, New York",Bronx,50579,16999
1400000US36005041800,"Census Tract 418, Bronx County, New York",Bronx,62567,11750
1400000US36005041900,"Census Tract 419, Bronx County, New York",Bronx,57079,14216
1400000US36005042000,"Census Tract 420, Bronx County, New York",Bronx,31776,16156
1400000US36005042100,"Census Tract 421, Bronx County, New York",Bronx,52824,17933
1400000US36005042200,"Census Tract 422, Bronx County, New York",Bronx,75201,35545
1400000US36005042300,"Census Tract 423, Bronx County, New York",Bronx,71422,22746
1400000US36005042400,"Census Tract 424, Bronx County, New York",Bronx,106468,25008
1400000US36005042500,"Census Tract 425, Bronx County, New York",Bronx,48280,15655
1400000US36005042600,"Census Tract 426, Bronx County, New York",Bronx,99764,38246
1400000US36005042800,"Census Tract 428, Bronx County, New York",Bronx,168646,112521
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",Bronx,46779,17578
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",Bronx,44663,12493
1400000US36005043000,"Census Tract 430, Bronx County, New York",Bronx,85074,22045
1400000US36005043101,"Census Tract 431.01, Bronx County, New York",Bronx,40089,18894
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",Bronx,50926,18889
1400000US36005043400,"Census Tract 434, Bronx County, New York",Bronx,76036,36501
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",Bronx,-666666666,-222222222
