geoid,tract_name,borough,B05002_E001,B05002_M001,B05002_E002,B05002_M002,B05002_E003,B05002_M003,B05002_E004,B05002_M004,B05002_E005,B05002_M005,B05002_E006,B05002_M006,B05002_E007,B05002_M007,B05002_E008,B05002_M008,B05002_E009,B05002_M009,B05002_E010,B05002_M010,B05002_E011,B05002_M011,B05002_E012,B05002_M012,B05002_E013,B05002_M013,B05002_E014,B05002_M014,B05002_E015,B05002_M015,B05002_E016,B05002_M016,B05002_E017,B05002_M017,B05002_E018,B05002_M018,B05002_E019,B05002_M019,B05002_E020,B05002_M020,B05002_E021,B05002_M021,B05002_E022,B05002_M022,B05002_E023,B05002_M023,B05002_E024,B05002_M024,B05002_E025,B05002_M025,B05002_E026,B05002_M026,B05002_E027,B05002_M027
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",Bronx,3295,589,2324,499,1792,516,287,158,104,84,26,40,157,129,0,14,245,144,80,75,0,14,165,128,971,343,502,205,0,14,1,2,96,112,0,14,405,197,0,14,469,273,0,14,0,14,0,14,0,14,469,273,0,14
1400000US36005018400,"Census Tract 184, Bronx County, New York",Bronx,3886,669,2856,577,2102,400,237,163,167,142,62,78,8,15,0,14,517,346,81,80,0,14,436,347,1030,341,554,250,180,112,106,76,0,14,0,14,268,194,0,14,476,228,176,166,156,137,0,14,0,14,144,135,0,14
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",Bronx,3775,706,2476,592,2021,494,88,86,56,65,0,14,32,55,0,14,367,222,333,215,0,14,34,60,1299,435,727,383,2,5,0,14,349,340,0,14,376,196,0,14,572,411,3,6,0,14,355,337,0,14,214,248,0,14
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",Bronx,5525,1011,4441,1026,3790,892,463,259,259,197,47,84,157,132,0,19,188,131,72,91,0,19,116,79,1084,346,865,360,0,19,0,19,114,120,0,19,751,366,0,19,219,187,22,43,0,19,50,43,0,19,147,172,0,19
1400000US36005018900,"Census Tract 189, Bronx County, New York",Bronx,8244,1042,6173,973,4931,964,730,278,342,202,33,53,267,185,88,83,512,301,164,109,0,19,348,275,2071,470,1059,341,67,90,46,87,0,19,0,19,921,322,25,54,1012,335,0,19,24,39,10,25,0,19,968,324,10,16
1400000US36005019300,"Census Tract 193, Bronx County, New York",Bronx,5949,987,5072,935,3850,720,427,224,51,71,0,19,268,180,108,123,795,722,276,211,436,669,83,118,877,467,481,384,0,19,0,19,225,274,0,19,256,214,0,19,396,182,77,73,0,19,0,19,0,19,319,166,0,19
1400000US36005019400,"Census Tract 194, Bronx County, New York",Bronx,2117,350,1579,358,1206,340,140,58,42,46,8,11,18,18,72,31,233,90,143,58,0,14,90,85,538,167,276,94,40,32,74,44,27,27,0,14,135,84,0,14,262,127,33,50,14,22,0,14,0,14,215,104,0,14
1400000US36005019500,"Census Tract 195, Bronx County, New York",Bronx,7738,1832,5034,1188,4084,1045,643,355,271,206,210,184,155,200,7,17,307,211,210,159,0,19,97,111,2704,1429,1351,477,0,19,12,28,278,256,0,19,1061,412,0,19,1353,1168,0,19,0,19,970,1154,0,19,383,208,0,19
1400000US36005019700,"Census Tract 197, Bronx County, New York",Bronx,7628,1188,4710,1149,3724,1067,653,468,385,473,0,19,268,155,0,19,333,226,118,113,0,19,215,200,2918,789,1716,667,0,19,162,115,359,280,0,19,1195,604,0,19,1202,462,11,22,73,57,242,229,0,19,876,425,0,19
1400000US36005019900,"Census Tract 199, Bronx County, New York",Bronx,6852,1230,3584,880,2848,790,263,222,37,57,32,52,194,198,0,19,473,335,146,131,0,19,327,310,3268,985,1840,642,0,19,0,19,303,364,0,19,1537,546,0,19,1428,636,0,19,0,19,507,464,0,19,921,486,0,19
1400000US36005020000,"Census Tract 200, Bronx County, New York",Bronx,4419,571,2462,441,2239,446,39,43,0,14,0,14,39,43,0,14,184,85,125,70,0,14,59,58,1957,459,1082,216,48,54,619,153,0,14,0,14,415,169,0,14,875,359,0,14,263,165,0,14,0,14,612,317,0,14
1400000US36005020100,"Census Tract 201, Bronx County, New York",Bronx,3845,662,2344,402,1848,389,120,123,32,48,0,14,46,53,42,77,376,243,95,95,45,69,236,234,1501,507,722,304,0,14,14,22,114,124,0,14,594,285,0,14,779,369,158,230,0,14,0,14,0,14,621,303,0,14
1400000US36005020200,"Census Tract 202, Bronx County, New York",Bronx,2602,354,1642,303,1234,212,82,52,0,14,5,8,77,52,0,14,326,234,318,234,0,14,8,16,960,223,481,147,0,14,206,98,0,14,0,14,275,114,0,14,479,171,44,55,89,59,13,19,0,14,333,163,0,14
1400000US36005020400,"Census Tract 204, Bronx County, New York",Bronx,2829,520,1692,478,1444,464,99,89,40,44,0,14,11,16,48,77,149,90,101,77,1,3,47,48,1137,319,709,213,0,14,313,142,0,14,0,14,396,205,0,14,428,184,0,14,70,65,69,108,0,14,289,169,0,14
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",Bronx,8397,1216,5379,1179,4770,1111,198,184,124,164,0,19,74,77,0,19,411,263,329,218,0,19,82,159,3018,594,1656,407,55,82,0,19,425,385,0,19,1176,399,0,19,1362,512,0,19,0,19,401,439,0,19,961,359,0,19
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",Bronx,2331,375,1349,313,1145,290,152,83,29,47,56,57,67,48,0,14,52,45,25,32,15,23,12,17,982,223,515,154,0,14,0,14,60,71,0,14,455,144,0,14,467,172,0,14,23,46,91,98,0,14,353,153,0,14
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",Bronx,2852,638,1281,335,1060,316,43,54,10,17,1,3,32,51,0,14,178,103,98,95,0,14,80,48,1571,543,1291,507,0,14,783,465,15,24,0,14,493,148,0,14,280,143,0,14,84,59,0,14,0,14,196,127,0,14
1400000US36005020900,"Census Tract 209, Bronx County, New York",Bronx,4809,787,2461,463,2018,459,158,98,13,20,42,45,80,70,23,35,285,171,156,121,0,14,129,131,2348,664,1278,395,19,30,0,14,214,127,0,14,1045,421,0,14,1070,468,0,14,10,23,231,242,0,14,829,394,0,14
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",Bronx,7347,1080,4605,733,3751,670,490,258,57,67,2,5,372,247,59,91,364,184,364,184,0,19,0,19,2742,820,1565,608,9,19,573,352,240,236,0,19,743,377,0,19,1177,579,0,19,216,182,573,483,0,19,388,255,0,19
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",Bronx,7434,1507,5139,1531,4155,1289,457,206,47,67,94,136,196,104,120,106,527,363,78,95,0,19,449,367,2295,502,1791,493,0,19,642,274,382,344,0,19,767,328,0,19,504,222,0,19,306,203,0,19,0,19,198,128,0,19
