geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047019500,"Census Tract 195, Kings County, New York",Brooklyn,2094,222,341,169,332,165,9,14,9,14,0,14,0,14,0,14,0,14,889,236,132,74,734,212,0,14,0,14,23,27,0,14,0,14,85,53,222,115,8,12,549,100
1400000US36047019600,"Census Tract 196, Kings County, New York",Brooklyn,1359,375,232,132,143,108,89,59,26,39,10,15,13,22,40,48,0,14,869,308,169,122,700,299,0,14,0,14,0,14,0,14,0,14,21,36,140,113,0,14,97,56
1400000US36047019700,"Census Tract 197, Kings County, New York",Brooklyn,2084,333,187,98,172,88,15,24,15,24,0,14,0,14,0,14,0,14,882,232,12,19,857,235,13,19,0,14,0,14,19,30,0,14,80,51,100,67,0,14,816,213
1400000US36047019800,"Census Tract 198, Kings County, New York",Brooklyn,872,212,293,124,171,99,122,94,16,14,60,77,46,53,0,14,0,14,334,175,175,153,159,103,0,14,0,14,0,14,0,14,0,14,46,42,38,26,0,14,161,108
1400000US36047019900,"Census Tract 199, Kings County, New York",Brooklyn,2825,396,192,116,174,112,18,30,18,30,0,14,0,14,0,14,0,14,1425,345,63,57,1326,312,0,14,36,55,0,14,0,14,0,14,38,41,339,174,8,15,823,262
1400000US36047020000,"Census Tract 200, Kings County, New York",Brooklyn,1041,220,270,94,233,92,37,26,36,26,1,3,0,14,0,14,0,14,441,158,124,85,317,114,0,14,0,14,0,14,0,14,98,140,47,46,79,44,19,28,87,45
1400000US36047020100,"Census Tract 201, Kings County, New York",Brooklyn,2431,408,248,128,199,105,49,40,35,33,14,22,0,14,0,14,0,14,1061,270,111,92,945,229,5,10,0,14,0,14,38,39,0,14,54,47,162,102,172,211,696,152
1400000US36047020200,"Census Tract 202, Kings County, New York",Brooklyn,743,164,328,120,244,95,84,65,84,65,0,14,0,14,0,14,0,14,193,64,78,50,115,45,0,14,0,14,0,14,0,14,0,14,8,10,69,43,7,11,138,74
1400000US36047020300,"Census Tract 203, Kings County, New York",Brooklyn,1346,215,70,42,64,41,6,9,6,9,0,14,0,14,0,14,0,14,508,115,13,26,495,113,0,14,0,14,0,14,0,14,0,14,19,21,154,143,14,22,581,156
1400000US36047020400,"Census Tract 204, Kings County, New York",Brooklyn,951,169,189,82,181,79,8,10,5,9,0,14,3,5,0,14,0,14,437,187,49,37,384,175,0,14,4,9,0,14,0,14,0,14,11,11,118,71,0,14,196,83
